English,French
housewares,ménagère
reputation,réputation
resistant,résistant
democrats,démocrates
recycling,recyclage
hang,pendre
gbp,GBP
curve,courbe
creator,créateur
amber,ambre
qualifications,qualifications
museums,musées
coding,codage
slideshow,diaporama
tracker,traqueur
variation,variation
passage,passage
transferred,transféré
trunk,tronc
hiking,randonnée
lb,kg
pierre,pierre
jelsoft,jelsoft
headset,casque
photograph,photographier
oakland,oakland
colombia,Colombie
waves,vagues
camel,chameau
distributor,distributeur
lamps,les lampes
underlying,sous-jacent
hood,capuche
wrestling,lutte
suicide,suicide
archived,archivé
photoshop,photoshop
jp,jump
chi,chi
bt,bt
arabia,Saoudite
gathering,la cueillette
projection,projection
juice,jus
chase,chasser
mathematical,mathématique
logical,logique
sauce,sauce
fame,la célébrité
extract,extrait
specialized,spécialisé
diagnostic,diagnostique
panama,Panama
indianapolis,Indianapolis
af,un F
payable,payable
corporations,des sociétés
courtesy,courtoisie
criticism,critique
automobile,voiture
confidential,confidentiel
rfc,rfc
statutory,statutaire
accommodations,hébergement
athens,Athènes
northeast,nord-est
downloaded,téléchargé
judges,juge
sl,sl
seo,référencement
retired,retraité
isp,isp
remarks,remarques
detected,détectée
decades,décennies
paintings,peintures
walked,promené
arising,découpé
nissan,Nissan
bracelet,bracelet
ins,ins
eggs,des œufs
juvenile,juvénile
injection,injection
yorkshire,Yorkshire
populations,populations
protective,protecteur
afraid,peur
acoustic,acoustique
railway,chemin de fer
cassette,cassette
initially,initialement
indicator,indicateur
pointed,pointu
hb,hb
jpg,jpg
causing,provoquant
mistake,erreur
norton,Norton
locked,fermé à clé
eliminate,éliminer
tc,tc
fusion,la fusion
mineral,minéral
sunglasses,des lunettes de soleil
ruby,rubis
steering,pilotage
beads,perles
fortune,fortune
preference,préférence
canvas,Toile
threshold,seuil
parish,paroisse
claimed,revendiqué
screens,écrans
cemetery,cimetière
planner,planificateur
croatia,Croatie
flows,les flux
stadium,stade
venezuela,Venezuela
exploration,exploration
mins,mines
fewer,moins
sequences,séquences
coupon,coupon
nurses,infirmières
ssl,ssl
stem,tige
proxy,Procuration
astronomy,astronomie
lanka,lanka
opt,opter
edwards,edwards
drew,a dessiné
contests,concours
flu,grippe
translate,Traduire
announces,annonce
mlb,mlb
costume,costume
tagged,tagué
berkeley,berkeley
voted,voté
killer,tueur
bikes,vélos
gates,portes
adjusted,ajusté
rap,rap
tune,régler
bishop,évêque
pulled,tiré
corn,maïs
gp,gp
shaped,en forme de
compression,compression
seasonal,saisonnier
establishing,établissement
farmer,agriculteur
counters,compteurs
puts,mette
constitutional,constitutionnel
grew,grandir
perfectly,à la perfection
tin,étain
slave,trimer
instantly,immédiatement
cultures,des cultures
norfolk,norfolk
coaching,encadrement
examined,examiné
trek,randonnée
encoding,codage
litigation,litige
submissions,soumission
oem,OEM
heroes,héros
painted,peint
lycos,lycos
ir,ivre
zdnet,zdnet
broadcasting,diffusion
horizontal,horizontal
artwork,ouvrages d'art
cosmetic,cosmétique
resulted,abouti
portrait,portrait
terrorist,terroriste
informational,d'information
ethical,éthique
carriers,transporteur
ecommerce,commerce électronique
mobility,mobilité
floral,floral
builders,constructeurs
ties,liens
struggle,lutter
schemes,schémas
suffering,Souffrance
neutral,neutre
fisher,pêcheur
rat,rat
spears,lance
prospective,éventuel
bedding,literie
ultimately,finalement
joining,joindre
heading,titre
equally,également
artificial,artificiel
bearing,palier
spectacular,spectaculaire
coordination,coordination
connector,connecteur
brad,brad
combo,combo
seniors,personne âgée
worlds,mondes
guilty,coupable
affiliated,affilié
activation,Activation
naturally,naturellement
haven,havre
tablet,tablette
jury,jury
dos,dons
tail,queue
subscribers,les abonnés
charm,charme
lawn,pelouse
violent,violent
mitsubishi,Mitsubishi
underwear,sous-vêtement
basin,bassin
soup,soupe
potentially,potentiellement
ranch,ranch
constraints,contraintes
crossing,traversée
inclusive,compris
dimensional,dimensionnel
cottage,chalet
drunk,ivre
considerable,considérable
crimes,crimes
resolved,résolu
mozilla,Mozilla
byte,octet
toner,toner
nose,nez
latex,latex
branches,branches
anymore,plus
oclc,OCLC
delhi,delhi
holdings,exploitation
alien,extraterrestre
locator,localisateur
selecting,sélectionnant
processors,processeurs
pantyhose,pantyhose
plc,plc
broke,fauché
nepal,Népal
zimbabwe,Zimbabwe
difficulties,des difficultés
juan,Juan
complexity,complexité
msg,msg
constantly,constamment
browsing,navigation
resolve,résoudre
barcelona,Barcelone
presidential,présidentiel
documentary,documentaire
cod,la morue
territories,territoires
melissa,mélisse
moscow,Moscou
thesis,thèse
thru,à travers
jews,les Juifs
nylon,nylon
palestinian,palestinien
discs,disques
rocky,rocheux
bargains,bonnes affaires
frequent,fréquent
trim,garniture
nigeria,Nigeria
ceiling,plafond
pixels,pixels
ensuring,assurer
hispanic,hispanique
cv,CV
cb,cb
legislature,corps législatif
hospitality,hospitalité
gen,général
anybody,n'importe qui
procurement,approvisionnement
diamonds,diamants
espn,espn
fleet,flotte
untitled,sans titre
bunch,groupe
totals,totaux
marriott,marriott
singing,en chantant
theoretical,théorique
afford,s'offrir
exercises,des exercices
starring,en vedette
referral,référence
nhl,nhl
surveillance,surveillance
optimal,optimal
quit,quitter
distinct,distinct
protocols,protocoles
lung,poumon
highlight,surligner
substitute,remplacer
inclusion,inclusion
hopefully,avec un peu de chance
brilliant,brillant
turner,tourneur
sucking,succion
cents,centimes
reuters,Reuters
ti,Ti
fc,fc
gel,gel
todd,Todd
spoken,parlé
omega,oméga
evaluated,évalué
stayed,séjourné
civic,civique
assignments,missions
fw,fw
manuals,manuels
doug,doux
sees,vœux
termination,Résiliation
watched,regardé
saver,épargnant
thereof,celui-ci
grill,gril
households,ménages
gs,gs
redeem,racheter
rogers,rogers
grain,grain
aaa,aaa
authentic,authentique
regime,régime
wanna,voulez
wishes,vœux
bull,taureau
montgomery,mégomérie
architectural,architectural
louisville,Louisville
depend,dépendre
differ,différer
macintosh,macintosh
movements,mouvements
ranging,variant
monica,Monica
repairs,réparations
breath,souffle
amenities,Agréments
virtually,virtuellement
cole,Cole
mart,marché
candle,bougie
hanging,suspendu
colored,coloré
authorization,autorisation
tale,conte
verified,vérifié
lynn,lynn
formerly,Auparavant
projector,projecteur
bp,bp
situated,situé
comparative,comparatif
std,tirade
seeks,cherche
herbal,à base de plantes
loving,aimant
strictly,strictement
routing,routage
docs,docs
stanley,Stanley
psychological,psychologique
surprised,surpris
retailer,détaillant
vitamins,vitamines
elegant,élégant
gains,gagne
renewal,renouvellement
vid,vid
genealogy,généalogie
opposed,opposé
deemed,jugé
scoring,notation
expenditure,dépense
brooklyn,brooklyn
liverpool,liverpool
sisters,sœurs
critics,critiques
connectivity,connectivité
spots,taches
oo,oo
algorithms,algorithmes
hacker,pirate
madrid,Madrid
similarly,de la même manière
margin,marge
coin,pièce de monnaie
solely,uniquement
fake,faux
salon,salon
collaborative,collaboratif
norman,normand
fda,FDA
excluding,à l'exclusion
turbo,turbo
headed,à tête
voters,électeurs
cure,guérir
madonna,Madone
commander,le commandant
arch,cambre
ni,Ni
murphy,maudit
thinks,pense
thats,c'est
suggestion,suggestion
hdtv,hdtv
soldier,soldat
phillips,phillips
asin,un péché
aimed,viser
justin,Justin
bomb,bombe
harm,préjudice
interval,intervalle
mirrors,miroir
spotlight,projecteur
tricks,des trucs
reset,réinitialiser
brush,brosser
investigate,enquêter
thy,tes
expansys,expansys
panels,panneaux
repeated,répété
assault,agression
connecting,de liaison
spare,de rechange
logistics,logistique
deer,cerf
kodak,kodak
tongue,langue
bowling,bowling
tri,tri
danish,danois
pal,copain
monkey,singe
proportion,proportion
filename,nom de fichier
skirt,jupe
florence,Florence
invest,investir
honey,mon chéri
um,euh
analyses,analyses
drawings,dessins
significance,importance
scenario,scénario
ye,vous
fs,fs
lovers,les amoureux
atomic,atomique
approx,environ
symposium,symposium
arabic,arabe
gauge,jauge
essentials,essentiel
junction,jonction
protecting,protection
nn,nn
faced,confronté
mat,tapis
rachel,rachel
solving,résolution
transmitted,transmis
weekends,fins de semaine
screenshots,captures d'écran
produces,produit
oven,four
ted,tiède
intensive,intensif
chains,Chaînes
kingston,kingston
sixth,sixième
engage,engager
deviant,déviant
noon,le midi
switching,commutation
quoted,cité
adapters,adaptateur
correspondence,correspondance
farms,fermes
imports,importations
supervision,surveillance
cheat,Tricher
bronze,bronze
expenditures,dépenses
sandy,sablonneux
separation,séparation
testimony,témoignage
suspect,suspect
celebrities,célébrités
macro,macro
sender,expéditeur
mandatory,obligatoire
boundaries,limites
crucial,crucial
syndication,syndication
gym,gym
celebration,fête
kde,kde
adjacent,adjacent
filtering,filtration
tuition,frais de scolarité
spouse,conjoint
exotic,exotique
viewer,téléspectateur
signup,s'inscrire
threats,des menaces
luxembourg,Luxembourg
puzzles,puzzles
reaching,atteint
vb,vb
damaged,endommagé
cams,cames
receptor,récepteur
laugh,rire
joel,joel
surgical,chirurgical
destroy,détruire
citation,citation
pitch,terrain
autos,automates
yo,yo
premises,locaux
perry,poiré
proved,prouvé
offensive,offensive
imperial,impérial
dozen,douzaine
benjamin,Benjamin
deployment,déploiement
teeth,les dents
cloth,chiffon
studying,en train d'étudier
colleagues,collègues
stamp,timbre
lotus,lotus
salmon,Saumon
olympus,Olympe
separated,séparé
proc,procéder à
cargo,cargaison
tan,bronzer
directive,directif
fx,fx
salem,salée
mate,camarade
dl,dl
starter,entrée
upgrades,mises à niveau
likes,aime
butter,Beurre
pepper,poivre
weapon,arme
luggage,bagage
burden,charge
chef,chef
tapes,bandes
zones,Zones
races,les courses
isle,île
stylish,élégant
slim,maigrir
maple,érable
luke,Luke
grocery,épicerie
offshore,offshore
governing,gouvernant
retailers,détaillants
depot,dépôt
kenneth,kenneth
comp,compression
alt,alt
pie,tarte
blend,mélanger
harrison,hardison
ls,ls
julie,julie
occasionally,parfois
cbs,CBS
attending,assister à
emission,émission
pete,peté
spec,spectacle
finest,meilleur
realty,immobilier
janet,janet
bow,arc
penn,penn
recruiting,recrutement
apparent,apparent
instructional,pédagogique
phpbb,phpbb
autumn,automne
traveling,en voyageant
probe,sonde
midi,midi
permissions,autorisation
biotechnology,biotechnologie
toilet,toilette
ranked,classé
jackets,vestes
routes,routes
packed,emballé
excited,excité
outreach,sensibiliser
helen,helen
mounting,montage
recover,se remettre
tied,attaché
lopez,lopez
balanced,équilibré
prescribed,prescrit
catherine,Catherine
timely,opportun
talked,a parlé
debug,déboguer
delayed,différé
chuck,mandrin
reproduced,reproduit
hon,honorer
dale,vallée
explicit,explicite
calculation,calcul
villas,villas
ebook,livre électronique
consolidated,consolidés
exclude,exclure
peeing,pipi
occasions,occasions
brooks,ruisseau
equations,équations
newton,newton
oils,huiles
sept,septembre
exceptional,exceptionnel
anxiety,anxiété
bingo,bingo
whilst,tandis que
spatial,spatial
respondents,répondants
unto,à
lt,lt
ceramic,céramique
prompt,rapide
precious,précieux
minds,esprits
annually,annuellement
considerations,considérations
scanners,scanners
atm,au m
xanax,xanax
eq,éq
pays,paie
fingers,les doigts
sunny,ensoleillé
ebooks,livres électroniques
delivers,délivre
je,je
queensland,Queensland
necklace,Collier
musicians,les musiciens
leeds,leeds
composite,composite
unavailable,indisponible
cedar,cèdre
arranged,arrangé
lang,languer
theaters,théâtres
advocacy,plaidoyer
raleigh,râleur
stud,étalon
fold,plier
essentially,essentiellement
designing,conception
threaded,fileté
uv,uv
qualify,qualifier
blair,Blair
hopes,espoir
assessments,évaluations
cms,cms
mason,le maçon
diagram,diagramme
burns,brûler
pumps,pompes
footwear,chaussure
sg,sg
vic,vierge
beijing,Pékin
peoples,peuples
victor,Victor
mario,Mario
pos,point de vue
attach,attacher
licenses,licences
utils,utils
removing,enlever
advised,informé
brunswick,brunswick
spider,araignée
phys,corporel
ranges,gammes
pairs,paires
sensitivity,sensibilité
trails,les sentiers
preservation,préservation
hudson,Hudson
isolated,isolé
calgary,calgaire
interim,intérimaire
assisted,assisté
divine,Divin
streaming,Diffusion
approve,approuver
chose,choisi
compound,composé
intensity,intensité
technological,technologique
syndicate,syndicat
abortion,Avortement
dialog,dialogue
venues,sites
blast,détruire
wellness,bien-être
calcium,calcium
newport,Newport
antivirus,antivirus
addressing,adressage
pole,pôle
discounted,réduit
indians,Indiens
shield,protéger
harvest,récolte
membrane,membrane
prague,prague
previews,Prévisualisation
bangladesh,bangladesh
constitute,constituer
locally,localement
concluded,conclu
pickup,Récupérer
desperate,désespéré
mothers,mères
nascar,nascar
iceland,Islande
demonstration,manifestation
governmental,gouvernemental
manufactured,fabriqué
candles,bougies
graduation,l'obtention du diplôme
mega,méga
bend,pliez
sailing,voile
variations,variations
moms,mamans
sacred,sacré
addiction,dépendance
morocco,Maroc
chrome,chrome
tommy,tommy
springfield,Springfield
refused,refusé
brake,frein
exterior,extérieur
greeting,salutation
ecology,écologie
oliver,oliver
congo,congo
glen,glen
botswana,Botswana
nav,navire
delays,retard
synthesis,synthèse
olive,olive
undefined,indéfini
unemployment,chômage
cyber,cyber
verizon,verizon
scored,marqué
enhancement,renforcement
newcastle,Newcastle
clone,cloner
velocity,rapidité
lambda,lambda
relay,relais
composed,composé
tears,des larmes
performances,les performances
oasis,oasis
baseline,base
cab,taxi
angry,en colère
fa,FA
societies,sociétés
silicon,silicium
brazilian,brésilien
identical,identique
petroleum,pétrole
compete,rivaliser
ist,ist
norwegian,norvégien
lover,amoureux
belong,appartenir
honolulu,honolulu
beatles,beatles
lips,lèvres
retention,rétention
exchanges,des échanges
pond,étang
rolls,Rouleaux
thomson,Thomson
barnes,barnes
soundtrack,bande sonore
wondering,se demandant
malta,Malte
daddy,papa
lc,lc
ferry,traversier
rabbit,lapin
profession,métier
seating,sièges
dam,endiguer
cnn,cnn
separately,séparément
physiology,physiologie
lil,p'tit
collecting,collecte
das,da
exports,exportations
omaha,omaha
tire,pneu
participant,participant
scholarships,Bourses d'études
recreational,récréatif
dominican,dominicain
chad,chadre
electron,électron
loads,charges
friendship,Amitié
heather,chauffage
passport,passeport
motel,motel
unions,syndicats
treasury,Trésorerie
warrant,garantir
sys,Sys
solaris,solaris
frozen,gelé
occupied,occupé
josh,Josh
royalty,royalties
scales,Balance
rally,se rallier
observer,observateur
sunshine,ensoleillement
strain,souche
drag,glisser
ceremony,la cérémonie
somehow,en quelque sorte
arrested,arrêté
expanding,expansion
provincial,provincial
investigations,enquêteurs
icq,ICQ
ripe,mûr
yamaha,Yamaha
rely,compter sur
medications,médicaments
hebrew,hébreu
gained,gagné
rochester,rochester
dying,mourant
laundry,lessive
stuck,bloqué
solomon,Salomon
placing,placement
stops,arrêts
homework,devoirs
adjust,régler
assessed,évalué
advertiser,annonceur
enabling,habilitant
encryption,chiffrement
filling,remplissage
downloadable,téléchargeable
sophisticated,sophistiqué
imposed,imposé
silence,silence
scsi,SCSI
focuses,se concentrer
soviet,soviétique
possession,possession
cu,cu
laboratories,laboratoires
treaty,traité
vocal,vocal
trainer,entraîneur
organ,organe
stronger,plus forte
volumes,volumes
advances,avances
vegetables,les légume
lemon,citron
toxic,toxique
dns,DNS
thumbnails,vignettes
darkness,obscurité
pty,pty
ws,ws
nuts,des noisettes
nail,ongle
bizrate,bizre
vienna,vienna
implied,implicite
span,envergure
stanford,Stanford
sox,sox
stockings,bas
joke,plaisanter
respondent,intimé
packing,emballage
statute,loi
rejected,rejeté
satisfy,satisfaire
destroyed,détruit
shelter,abri
chapel,chapelle
gamespot,gamespot
manufacture,fabrication
layers,couches
wordpress,wordpress
guided,guidé
vulnerability,vulnérabilité
accountability,responsabilité
celebrate,célébrer
accredited,accrédité
appliance,appareil
compressed,comprimé
bahamas,bahamas
powell,powell
mixture,mélange
bench,banc
univ,univer
tub,baignoire
rider,cavalier
scheduling,Planification
radius,rayon
perspectives,points de vue
mortality,mortalité
logging,enregistrement
hampton,hampton
christians,les chrétiens
borders,limites
therapeutic,thérapeutique
pads,tampons
butts,mégot
inns,auberge
bobby,policier
impressive,impressionnant
sheep,mouton
accordingly,par conséquent
architect,architecte
railroad,chemin de fer
lectures,conférences
challenging,difficile
wines,vins
nursery,garderie
harder,Plus fort
cups,tasses
ash,cendre
microwave,four micro onde
cheapest,moins cher
accidents,les accidents
travesti,travesti
relocation,déménagement
stuart,Stuart
contributors,contributeurs
salvador,salvador
ali,ali
salad,salade
np,np
monroe,monroe
tender,tendre
violations,violations
foam,mousse
temperatures,températures
paste,pâte
clouds,des nuages
competitions,compétitions
discretion,discrétion
tft,TFT
tanzania,Tanzanie
preserve,préserver
jvc,jvc
poem,poème
unsigned,non signé
staying,séjour
cosmetics,produits de beauté
easter,Pâques
theories,théories
repository,dépôt
praise,louer
jeremy,jeremy
venice,venise
concentrations,concentrations
estonia,Estonie
christianity,christianisme
veteran,vétéran
streams,ruisseaux
landing,atterrissage
signing,signature
executed,réalisé
katie,Katie
negotiations,négociations
realistic,réaliste
dt,dt
cgi,cgi
showcase,vitrine
integral,intégral
asks,demande
relax,se détendre
namibia,namibie
generating,générateur
christina,Christina
congressional,du Congrès
synopsis,synopsis
hardly,à peine
prairie,prairie
reunion,réunion
composer,compositeur
bean,haricot
sword,épée
absent,absent
photographic,photographique
sells,vendre
ecuador,Équateur
hoping,espérant
accessed,accédé
spirits,spiritueux
modifications,modifications
coral,corail
pixel,pixel
float,flotter
colin,colin
bias,biais
imported,importé
paths,sentiers
bubble,bulle
por,porc
acquire,acquérir
contrary,contraire
millennium,millénaire
tribune,tribune
vessel,navire
acids,acides
focusing,se concentrer
viruses,virus
cheaper,moins cher
admitted,admis
dairy,laitier
admit,admettre
mem,mem
fancy,fantaisie
equality,égalité
samoa,samoa
gc,gc
achieving,réalisation
tap,robinet
stickers,autocollants
fisheries,pêcheries
exceptions,exceptions
reactions,réactions
leasing,location
lauren,Lauren
beliefs,croyances
ci,CI
macromedia,macromedia
companion,un compagnon
squad,équipe
analyze,analyser
ashley,ashley
scroll,faire défiler
relate,rapporter
divisions,divisions
swim,nager
wages,les salaires
additionally,en outre
suffer,souffrir
forests,les forêts
fellowship,camaraderie
nano,nano
invalid,invalide
concerts,concerts
martial,martial
males,mâles
victorian,victorien
retain,conserver
colours,couleurs
execute,exécuter
tunnel,tunnel
genres,genres
cambodia,Cambodge
patents,brevets
copyrights,droits d'auteur
yn,yn
chaos,le chaos
lithuania,Lituanie
mastercard,MasterCard
wheat,blé
chronicles,chroniques
obtaining,obtention
beaver,castor
updating,mise à jour
distribute,distribuer
readings,lectures
decorative,décoratif
kijiji,kijiji
confused,confus
compiler,compilateur
enlargement,élargissement
eagles,aigles
bases,bases
vii,vii
accused,accusé
bee,abeille
campaigns,campagnes
unity,unité
loud,fort
conjunction,conjonction
bride,la mariée
rats,les rats
defines,définit
airports,aéroports
instances,instances
indigenous,indigène
begun,commencé
cfr,CFR
brunette,brunette
packets,paquets
anchor,ancre
socks,des chaussettes
validation,validation
parade,parade
corruption,la corruption
stat,statistique
trigger,gâchette
incentives,des incitations
cholesterol,cholestérol
gathered,recueillies
essex,essex
slovenia,Slovénie
notified,notifié
differential,différentiel
beaches,des plages
folders,Dossiers
dramatic,spectaculaire
surfaces,surfaces
terrible,terrible
routers,routeurs
cruz,cruz
pendant,pendentif
dresses,Robes
baptist,baptiste
scientist,scientifique
starsmerchant,Starsmerchange
hiring,embauche
clocks,horloges
arthritis,arthrite
bios,bios
females,femelles
wallace,wallace
nevertheless,néanmoins
reflects,réfléchir
taxation,Imposition
fever,fièvre
pmc,PMC
cuisine,cuisine
surely,sûrement
practitioners,praticiens
transcript,transcription
myspace,mon espace
theorem,théorème
inflation,inflation
thee,te
nb,nb
ruth,Ruth
pray,prier
stylus,style
compounds,composés
pope,le pape
drums,tambours
contracting,contrat
arnold,arnold
structured,structuré
reasonably,raisonnablement
jeep,jeep
chicks,poussins
bare,nu
hung,suspendu
cattle,bovins
mba,mba
radical,radical
graduates,diplômés
rover,vagabond
recommends,recommande
controlling,contrôlant
treasure,Trésor
reload,recharger
distributors,distributeurs
flame,flamme
levitra,levitra
tanks,réservoirs
assuming,en supposant
monetary,monétaire
elderly,âgé
pit,fosse
arlington,Arlington
mono,mono
particles,particules
floating,flottant
extraordinary,extraordinaire
tile,tuile
indicating,indiquant
bolivia,Bolivie
spell,épeler
hottest,le plus chaud
stevens,stevens
coordinate,coordonner
kuwait,Koweit
exclusively,exclusivement
emily,Emilie
alleged,allégué
limitation,limitation
widescreen,grand écran
compile,compiler
webster,Webster
struck,frappé
rx,rx
illustration,illustration
plymouth,plymouth
warnings,mises en garde
construct,construction
apps,applications
inquiries,enquête
bridal,de mariée
annex,annexe
mag,magnette
gsm,gsm
inspiration,inspiration
tribal,tribal
curious,curieuse
affecting,affectant
freight,cargaison
rebate,rabais
meetup,se rencontrer
eclipse,éclipse
sudan,Soudan
ddr,DDR
downloading,Téléchargement
rec,record
shuttle,Navette
aggregate,agrégat
stunning,superbe
cycles,cycles
affects,affecte
forecasts,prévision
detect,détecter
actively,efficacement
ciao,ciao
ampland,amplifier
knee,le genou
prep,préparation
pb,pb
complicated,compliqué
chem,chim
fastest,le plus rapide
butler,majordome
shopzilla,shopzilla
injured,blessée
decorating,décoration
payroll,paie
cookbook,livre de recettes
expressions,expressions
ton,tonne
courier,courrier
uploaded,téléchargé
shakespeare,shakespeare
hints,conseils
collapse,effondrer
americas,Amériques
connectors,connecteurs
unlikely,improbable
oe,oe
gif,gif
pros,avantages
conflicts,conflits
techno,techno
beverage,boisson
tribute,hommage
wired,câblé
elvis,elvis
immune,immunitaire
latvia,Lettonie
travelers,voyageurs
forestry,sylviculture
barriers,barrières
cant,net
jd,jdem
rarely,rarement
gpl,gonflier
infected,infecté
offerings,offrandes
martha,Martha
genesis,genèse
barrier,barrière
argue,se disputer
incorrect,Incorrect
trains,les trains
metals,métaux
bicycle,bicyclette
furnishings,ameublement
letting,location
arise,surgir
guatemala,Guatemala
celtic,celtique
thereby,ainsi
irc,IRC
jamie,Jamie
particle,particule
perception,la perception
minerals,minéraux
advise,conseiller
humidity,humidité
bottles,bouteilles
boxing,boxe
wy,Wyoming
dm,dm
bangkok,bangkok
renaissance,Renaissance
pathology,pathologie
sara,sara
bra,soutien-gorge
ordinance,ordonnance
hughes,hughes
photographers,photographes
infections,infections
jeffrey,Jeffrey
chess,échecs
operates,exploiter
brisbane,brisbane
configured,configuré
survive,survivre
oscar,oscar
festivals,festivals
menus,menus
joan,joan
possibilities,possibilités
duck,canard
reveal,révéler
canal,canal
amino,amino
phi,phi
contributing,contribuant
herbs,herbes
clinics,cliniques
mls,mls
cow,vache
manitoba,manitoba
analytical,analytique
missions,missions
watson,Watson
lying,couché
costumes,costumes
strict,strict
dive,se plonger
saddam,saddam
circulation,circulation
drill,percer
offense,infraction
bryan,Bryan
cet,cet
protest,manifestation
assumption,supposition
jerusalem,Jérusalem
hobby,passe-temps
tries,essaie
transexuales,transsexuels
invention,invention
nickname,surnom
fiji,Fidji
technician,technicien
inline,en ligne
executives,cadres
enquiries,enquête
washing,la lessive
audi,Audi
staffing,recrutement
cognitive,cognitif
exploring,explorant
trick,tour
enquiry,demande
closure,fermeture
raid,raid
ppc,ppc
timber,Charpente
volt,volt
intense,intense
div,diviser
playlist,playlist
registrar,greffier
showers,douches
supporters,partisans
ruling,décision
steady,constant
dirt,saleté
statutes,statuts
withdrawal,Retrait
myers,myers
drops,gouttes
predicted,prédit
wider,plus large
saskatchewan,Saskatchewan
jc,jc
cancellation,annulation
plugins,plugins
enrolled,inscrit
sensors,capteurs
screw,vis
ministers,ministres
publicly,publiquement
hourly,horaire
blame,faire des reproches
geneva,Genève
freebsd,FreeBsd
veterinary,vétérinaire
acer,acer
prostores,prosternes
reseller,revendeur
dist,distinguer
handed,remis
suffered,souffert
intake,admission
informal,informel
relevance,pertinence
incentive,motivation
butterfly,papillon
tucson,Tucson
mechanics,mécanique
heavily,fortement
swingers,échangistes
fifty,cinquante
headers,en-têtes
mistakes,erreurs
numerical,numérique
ons,sur
geek,geek
uncle,oncle
defining,déterminant
counting,compte
reflection,réflexion
sink,évier
accompanied,accompagné
assure,assurer
invitation,invitation
devoted,dévoué
princeton,princeton
jacob,Jacob
sodium,sodium
randy,excité
spirituality,spiritualité
hormone,hormone
meanwhile,pendant ce temps
proprietary,propriétaire
timothy,Timothée
childrens,enfants
brick,brique
grip,saisir
naval,naval
thumbzilla,Thumbzilla
medieval,médiéval
porcelain,porcelaine
avi,avi
bridges,des ponts
pichunter,pichunter
captured,capturé
watt,watt
thehun,le Hun
decent,décent
casting,fonderie
dayton,dayton
translated,traduit
shortly,prochainement
cameron,Cameron
columnists,chroniqueurs
pins,épingles
carlos,carlos
reno,reno
donna,Donna
andreas,andreas
warrior,guerrier
diploma,diplôme
cabin,cabine
innocent,innocent
scanning,balayage
ide,ide
consensus,consensus
polo,polo
valium,valique
copying,copier
rpg,rpin
delivering,délivrer
cordless,sans fil
patricia,patricia
horn,Corne
eddie,eddie
uganda,Ouganda
fired,mis à la porte
journalism,journalisme
pd,pd
prot,protège
trivia,trivia
adidas,adidas
perth,perth
frog,grenouille
grammar,grammaire
intention,intention
syria,Syrie
disagree,être en désaccord
klein,klein
harvey,Harvey
tires,pneus
logs,journaux
undertaken,entrepris
tgp,TGP
hazard,risquer
retro,rétro
leo,Leo
statewide,tout à fait
semiconductor,semi-conducteur
gregory,grégoire
episodes,épisodes
boolean,booléen
circular,circulaire
anger,colère
diy,DIY
mainland,continuel
illustrations,Illustrations
suits,costume
chances,chances
interact,interagir
snap,se casser
happiness,joie
arg,argument
substantially,substantiellement
bizarre,bizarre
glenn,glenn
ur,ur
auckland,Auckland
olympics,Jeux olympiques
fruits,des fruits
identifier,identifiant
geo,géo
ribbon,ruban
calculations,calcul
doe,biche
jpeg,jpeg
conducting,conduite
startup,Commencez
suzuki,Suzuki
trinidad,trinidad
ati,ati
kissing,embrassade
wal,wal
handy,pratique
swap,échanger
exempt,exempter
crops,cultures
reduces,réduit
accomplished,accompli
calculators,calculatrice
geometry,géométrie
impression,impression
abs,abdos
slovakia,Slovaquie
flip,flanquer
guild,guilde
correlation,corrélation
gorgeous,magnifique
capitol,Capitole
sim,Sim
dishes,vaisselle
rna,ARN
barbados,barbados
chrysler,chrysler
nervous,nerveux
refuse,refuser
extends,étend
fragrance,fragrance
mcdonald,McDonald
replica,réplique
plumbing,plomberie
brussels,Bruxelles
tribe,tribu
neighbors,voisins
trades,métiers
superb,superbe
buzz,bourdonner
transparent,transparent
nuke,nuke
rid,débarrasser
trinity,trinité
charleston,charleston
handled,manipulé
legends,légendes
boom,boom
calm,calmer
champions,champion
floors,plancher
selections,sélections
projectors,projecteurs
inappropriate,inapproprié
exhaust,échappement
comparing,comparant
shanghai,Shanghai
speaks,parle
burton,burton
vocational,professionnel
davidson,Davidson
copied,copié
scotia,Scotia
farming,agriculture
gibson,gibson
pharmacies,pharmacies
fork,fourchette
troy,troy
ln,ln
roller,rouleau
introducing,introduction
batch,grouper
organize,organiser
appreciated,apprécié
alter,modifier
nicole,nicole
latino,latino
ghana,Ghana
edges,bords
uc,uc
mixing,mélange
handles,poignées
skilled,qualifié
fitted,équipé
albuquerque,albuquerque
harmony,harmonie
distinguished,distingué
asthma,asthme
projected,projeté
assumptions,hypothèses
shareholders,actionnaires
twins,jumeaux
developmental,du développement
rip,déchirure
zope,zope
regulated,réglementé
triangle,Triangle
amend,modifier
anticipated,anticipé
oriental,Oriental
reward,récompense
windsor,windsor
zambia,Zambie
completing,complétant
gmbh,gmbh
buf,buée
ld,ld
hydrogen,hydrogène
webshots,boutique en ligne
sprint,sprint
comparable,comparable
chick,poussin
advocate,avocat
sims,sims
confusion,confusion
copyrighted,copyright
tray,plateau
inputs,contributions
warranties,garantie
genome,génome
escorts,escorte
documented,documenté
thong,lanière
medal,médaille
