French,Spanish
tromper,tonto
monstre,ve
non lucratif,sin ánimo de lucro
lancaster,lancaster
suspendu,suspendido
par la présente,por la presente
observer,observar
Julia,Julia
conteneurs,contenedores
attitudes,actitudes
karl,karl
baie,baya
collier,collar
simultanément,simultaneamente
racial,racial
intégrer,integrar
bermudes,islas Bermudas
Amanda,amanda
sociologie,sociología
mobiles,mobiles
capture d'écran,captura de pantalla
des expositions,exhibiciones
kelkoo,kelkoo
sur de soi,seguro
récupéré,recuperado
exposition,exhibiciones
officiellement,oficialmente
consortium,consorcio
meurt,muere
terrasse,terraza
bactéries,bacteria
pts,pts
réparé,respondido
Fruit de mer,mariscos
des romans,novelas
rh,Rh
rrp,rrp
bénéficiaires,destinatarios
devrait,debería
délicieux,delicioso
traditions,tradiciones
fg,fg
prison,celda
sans encombre,sin peligro
fini,finito
un rein,riñón
périodiquement,periódicamente
fixer,arreglos
envoie,envía
durable,durable
mazda,mazda
allié,aliado
jette,tiros
humidité,humedad
hongrois,húngaro
liste,lista
référant,referente
symantec,Symantec
Spencer,spencer
wichita,Wichita
nasdaq,nasdaq
Uruguay,Uruguay
ooo,OOO
hz,Hz
transformer,transformar
minuteur,Temporizador
comprimés,tabletas
réglage,Afinación
gotten,conseguido
éducateurs,educadores
Tyler,tyler
contrat à terme,futuros
légume,vegetal
verset,verso
hauteur,máximo
humanités,humanidades
indépendamment,independientemente
voulant,falto
garde,custodia
rayure,rasguño
lancement,lanza
ipaq,IPAQ
alignement,alineación
henderson,henderson
bk,bik
Britannica,Britannica
commission,comunicación
ellen,Elen
concurrents,competidores
NHS,NHS
fusée,cohete
toujours,sí
balle,bala
tours,torres
racks,bastidores
dentelle,cordón
méchant,desagradable
visibilité,visibilidad
latitude,latitud
la conscience,conciencia
ste,ste
tumeur,tumor
moche,feo
dépôts,depósitos
beverly,beverly
maîtresse,amante
rencontrer,encuentro
fiduciaires,fideicomisarios
watts,vatios
Duncan,Duncan
réimpression,reimpresiones
cerf,ciervo
Bernard,Bernardo
résolutions,resoluciones
ment,cita
accessible,acceso
quarante,cuarenta
tubes,tubos
tentative,intentó
col,columna
Midlands,la región central de Inglaterra
prêtre,sacerdote
floyt,floyd
ronchonneur,ronald
analystes,analistas
file d'attente,cola
dx,dx
sk,sk
transe,trance
lieu,lugar
nicholas,nicholas
biol,biol
yu,Yu
empaqueter,manojo
marteau,martillo
invasion,invasión
les témoins,testigos
coureur,corredor
Lignes,filas
administré,administrado
notion,noción
sq,sq
peaux,Pieles
posté,blindado
OC,jefe
fujitsu,fujitsu
orthographe,ortografía
Arctique,ártico
examens,exámenes
récompenses,recompensas
sous,bajo
renforcer,fortalecer
défendre,defender
un J,AJ
frederick,Frederick
Medicaid,seguro de enfermedad
treo,treo
infrarouge,infrarrojo
septième,séptimo
dieux,Dioses
universitaire,une
gallois,galés
ventre,barriga
agressif,agresivo
Texas,Texas
annonces,anuncios
quartiers,cuarteles
volé,robado
CIA,cia
la plus tôt,lo antes
Haïti,Haití
perturbé,perturbado
détermine,determina
sculpture,escultura
poly,escuela politécnica
oreilles,orejas
dodu,endurecido
wp,wp
poing,puño
naturel,naturales
néo,neo
motivation,motivación
prêteurs,prestamistas
pharmacologie,farmacología
raccord,adecuado
agencements,accesorios
blogueurs,bloggers
simple,mero
accepter,está de acuerdo
passagers,pasajeros
quantités,cantidades
pétersbourg,petersburgo
régulièrement,consecuentemente
Power Point,PowerPoint
les inconvénients,contras
surplus,superávit
aîné,mayor
sonique,Sonic
obitaires,obituarios
Tchin Tchin,salud
creuser,cavar
Taxi,taxi
Châtiment,castigo
appréciation,apreciación
ensuite,después
OM,om
Biélorussie,bielorrusia
nat,nat
zonage,zonificación
la gravité,gravedad
Providence,providencia
pouce,pulgar
restriction,restricción
intégrer,incorporar
arrière-plans,antecedentes
trésorier,tesorero
guitares,guitarras
essence,esencia
sol,piso
poids léger,ligero
Ethiopie,Etiopía
TP,tp
puissant,poderoso
les athlètes,Atletas
humanité,humanidad
transcription,transcripción
jm,JM
holmes,holmes
complications,complicaciones
savants,académico
dpi,dpi
script,scripting
gis,gis
rappelé,recordado
galaxie,galaxia
chester,chester
instantané,instantánea
bienveillance,cuidando
Loc,loca
porté,desgastado
synthétique,sintético
shaw,shaw
vice-président,vicepresidente
segments,segmentos
testament,testamento
expo,expo
dominant,dominante
tourner,giro
détails,detalles específicos
iTunes,iTunes
estomac,estómago
partiellement,parcialmente
enterré,enterrado
cn,cn
débutant,novato
minimiser,minimizar
darwin,Darwin
rangs,rangos
région sauvage,desierto
début,debut
générations,generaciones
tournoi,torneos
bradley,bradley
Nier,negar
anatomie,anatomía
balis,bali
judence,Judy
parrainage,patrocinio
écouteurs,auriculares
fraction,fracción
trio,trío
procédure,proceder
cube,cubo
défauts,defectos
Volkswagen,volkswagen
incertitude,incertidumbre
panne,desglose
Milton,Milton
marqueur,marcador
reconstruction,reconstrucción
filiale,subsidiario
forces,fortalezas
clarté,claridad
tapis,alfombras
Sandra,sandra
Adélaïde,Adelaide
encourageant,alentador
meublé,amueblado
monaco,Mónaco
installé,establecido
pliant,plegable
émirates,emiratos
les terroristes,terroristas
billet d'avion,tarifa aérea
comparaisons,comparaciones
bénéfique,beneficioso
distributions,distribuidores
vaccin,vacuna
belize,Belice
sort,destino
vieillissement,visualización
promis,prometido
volvo,Volvo
penny,centavo
robuste,robusto
réservations,reservaciones
menacé,amenazado
minolta,Minolta
républicain,republicanos
discuter,discutir
interface graphique,gui
porter,portero
gras,gras
jungle,selva
ver,ver
rn,rn
a répondu,respondido
jante,borde
résumé,resúmenes
Zen,zen
Ivoire,Marfil
alpin,alpino
distinguer,disfraza
prédiction,predicción
médicaments,farmacéuticos
andale,andale
fabuleux,fabuloso
remixe,remix
alias,alias
thésaurus,Tesauro
individuellement,individualmente
champ de bataille,campo de batalla
au sens propre,literalmente
nouveau,más nuevo
kay,kay
écologique,ecológico
pimenter,especia
ovale,oval
impliquer,implica
cg,cg
soma,soma
ser,persona
glacière,enfriador
évaluation,evaluación
qui consiste,compuesto
maritime,marítimo
périodique,periódico
soumission,sumisión
aérien,gastos generales
ascii,ascii
perspective,perspectiva
expédition,envío
reproduction,cría
citations,citas
géographique,geográfico
donneur,donante
mozambique,Mozambique
tension,tensión
href,href
benz,benz
déchets,basura
formes,formas
Wifi,Wifi
étage,nivel
feux,fwd
comte,conde
manoir,señorío
enveloppe,sobre
diane,diane
patrie,patria
dénigrement,exención de responsabilidad
championnat,campeonato
exclu,excluido
Andrea,andrea
races,razas
rapides,rápidos
disco,disco
Sheffield,sheffield
bailey,muralla exterior
aus,aus
fin si,terminara si
finition,refinamiento
émotions,emociones
Wellington,Wellington
entrant,entrante
perspectives,perspectivas
Lexmark,lexmaria
nettoyant,limpiadores
bulgare,búlgaro
hwy,hwy
éternel,eterno
caissiers,cajeros
Guam,guam
citer,citar
Aborigène,aborigen
remarquable,Notable
rotation,rotación
nam,nam
prévenant,prevenir
productif,productivo
boulevard,bulevar
Eugène,Eugene
ix,IX
PIB,PIB
cochon,cerdo
métrique,métrico
conforme,obediente
moins,menos
pénalités,sanciones
bennett,bennett
imagination,imaginación
hotmail,hotmail
Remis à neuf,reformado
joshua,Josué
Arménie,Armenia
varié,variado
grande,grande
le plus proche,más cercano
activé,activado
actrice,Actriz
désordre,desorden
conférence,conferencia
attribuer,asignar
armstrong,Armstrong
Les politiciens,políticos
branches,trackbacks
éclairé,iluminado
accommoder,acomodar
tigres,tigres
aurore,Aurora
una,una
glisser,diapositivas
milan,Milán
première,estreno
prêteur,prestador
villages,aldeanos
ombre,sombra
Refrain,coro
christine,christine
rythme,ritmo
chiffre,dígito
argumenté,argumentó
diététique,dietético
symphonie,sinfonía
clarke,Clarke
soudain,repentino
acceptant,aceptación
précipitation,precipitación
marilyn,marilyn
les Lions,leones
retransmets,findzaw
ada,ada
piscines,quinielas
tb,tuberculosis
lyrique,lírica
claire,Claire
isolation,aislamiento
vitesses,velocidades
soutenu,sostenido
apparié,emparejado
approximatif,aproximado
corde,soga
carroll,carroll
rationnel,racional
programmeur,programador
combattant,luchadores
chambres,cámaras
décharger,vertedero
les salutations,saludos
hérité,heredado
échauffement,calentamiento
incomplet,incompleto
vocal,voz
la chronique,crónica
Fontaine,fuente
joufflu,regordete
la tombe,tumba
légitime,legítimo
biographies,biografías
brûleur,quemador
YRS,yrs
foo,foo
enquêteur,investigador
gba,gba
demandeur,demandante
finlandais,finlandés
doux,amable
bm,bm
les prisonniers,prisioneros
Plus profond,Más adentro
les musulmans,musulmanes
tuyau,manguera
méditerranéen,Mediterráneo
vie nocturne,la vida nocturna
images,imágenes
comment,cómo
digne,valioso
révèle,revela
architectes,arquitectos
saints,santos
entrepreneur,empresario
transporter,lleva
sigrir,siguño
free-lance,Lanza libre
duo,dúo
excessif,excesivo
dévontaire,devona
économiseur d'écran,protector de pantalla
hélice,helena
sauvegarder,ahorra
considéré,considerado
évaluation,valuación
inattendu,inesperado
cigarette,cigarrillo
brouillard,niebla
caractéristique,característica
marion,marion
lobby,vestíbulo
égyptien,egipcio
Tunisie,Túnez
métallica,metallica
indiqué,esbozado
par conséquent,como consecuencia
gros titre,titular
traitement,tratando
coup de poing,puñetazo
rendez-vous,equipo
str,str
gotta,tengo que
cow-boy,vaquero
récit,narrativa
bahreïn,bahrein
énorme,enorme
karma,karma
consister,consistir
betty,betty
reines,reina
universitaires,académica
pubs,pubs
quantitatif,cuantitativo
lucas,Lucas
veilleuses,pantallas de pantalla
subdivision,subdivisión
tribus,tribus
VIP,VIP
défaite,fracaso
cliquetis,Clics
distinction,distinción
Honduras,Honduras
vilain,travieso
dangers,riesgos
assuré,asegurado
harper,Harper
bétail,ganado
mardi,MARDI
exemption,exención
locataire,inquilino
durabilité,sustentabilidad
armoires,gabinetes
tatouage,tatuaje
secouer,sacudir
algèbre,álgebra
ombres,oscuridad
houx,acebo
mise en page,formato
idiot,tonto
nutritionnel,nutricional
Ouais,sí
pitié,misericordia
Hartford,Hartford
librement,libremente
marcus,Marcus
lever du soleil,amanecer
emballage,envase
doux,leve
fourrure,piel
Nicaragua,Nicaragua
blogs,weblogs
chronologie,línea de tiempo
le goudron,alquitrán
fait parti,pertenece
rj,rj
facilement,fácilmente
affiliation,afiliación
soc,sociedad
clôture,valla
nudiste,nudista
infini,infinito
Diane,Diana
assurer,garantiza
les proches,parientes
lindsay,lindsay
clan,clan
légalement,legalmente
la honte,vergüenza
satisfaisant,satisfactorio
révolutionnaire,revolucionario
bracelets,esposas
synchronisation,sincronizar
civil,civil
téléphonie,telefonía
mesa,colina baja
fatal,fatal
remède,remedio
agents immobiliers,agentes inmobiliarios
respiration,respiración
brièvement,brevemente
épaisseur,espesor
ajustements,ajustes
graphique,gráfico
génie,genio
discuter,que se discute
aérospatial,aeroespacial
combattant,combatiente
significative,significativo
chair,carne
battre en retraite,retirada
adapté,adaptado
tout juste,apenas
partout où,donde quiera
domaines,fincas
tapis,alfombra
démocrate,demócrata
arrondissement,ciudad
maintenir,mantiene
échouer,defecto
raccourcis,atajos
ka,ka
retenu,retenido
voyeurweb,voyeurweb
pamela,Pamela
Andrews,andrews
marbre,mármol
extension,extensión
jesse,jesse
spécifie,especifica
coque,cáscara
logitech,logitech
surre,surrey
Compte rendu,instrucciones
belkin,hermano
Dem,dem
accréditation,acreditación
wav,wav
la mûre,Mora
montagnes,tierras altas
méditation,meditación
modulaire,modular
microphone,micrófono
Macédoine,macedonia
combinaison,combinatorio
brandon,brandon
instrumental,instrumental
géants,gigantes
organiser,organización
cabanon,cobertizo
ballon,globo
modérateurs,moderadores
winston,Winston
note,memorándum
jambon,jamón
résolu,resuelto
marée,marea
Kazakhstan,kazajstán
hawaïen,hawaiano
classement,clasificaciones
cloison,dividir
invisible,invisible
grain,glaciar
consoles,consolas
trouille,canguelo
FBI,FBI
Qatar,Katar
aimant,imán
traductions,traducciones
porsche,porsche
caïman,caimán
jaguar,jaguar
bobine,carrete
virer,escarpado
marchandise,mercancía
posant,posando
kilomètres,kilómetros
rp,rp
lier,unir
action de grâces,acción de gracias
rand,rand
hopkins,hopkins
urgent,urgente
garanties,garantías
nourrisson,bebés
gothique,gótico
cylindre,cilindro
sorcière,bruja
mâle,dólar
indication,indicación
hein,eh
toutes nos félicitations,Felicidades
tba,tba
Cohen,cohen
sie,sie
usgs,USGS
chiot,cachorro
kathy,kathy
acre,acre
graphiques,gráficos
entourer,rodear
cigarettes,cigarrillos
vengeance,venganza
expire,expira
ennemis,enemigos
bas,bajos
contrôleurs,controladores
aqua,agua
chen,chen
Emma,emma
Conseil,consultoría
finances,finanzas
accepter,acepta
appréciant,disfrutando
conventions,convenciones
eva,eva
patrouille,patrulla
sentir,oler
peste,parásito
hc,HC
Italiano,italiano
coordonnées,coordenadas
RCA,rca
fp,fp
carnaval,carnaval
grossièrement,aproximadamente
autocollant,pegatina
promesses,promesas
en réponse,respondiendo
récif,arrecife
physiquement,físicamente
diviser,dividir
les parties prenantes,partes interesadas
hydrocodone,hidrocodona
TPS,GST
consécutif,consecutivo
cornoir,cornell
satin,satín
bon,breta
mériter,merecer
tentative,intentando
mailto,Mailto
promo,promoción
jj,jj
représentations,representaciones
chanter,chan
préoccupé,preocupado
tunes,melodía
des ordures,basura
en compétition,competidor
combine,combinar
mas,MAS
beth,Beth
bradford,bradford
len,len
phrases,frases
kai,kai
péninsule,península
chelsea,chelsea
ennuyeuse,aburrido
Reynolds,Reynolds
domestique,Dom
jill,jaleo
avec précision,precisamente
discours,discursos
atteindre,alcanza
schéma,esquema
considère,considera
sofa,sofá
catalogues,catálogos
ministère,ministerios
vacance,vacantes
quiz,pruebas
parlementaire,parlamentario
obj,obj
préfixe,prefijo
Lucia,Lucía
savane,sabana
baril,barril
dactylographie,mecanografía
nerf,nervio
nuance,dans
planètes,planetas
déficit,déficit
rocher,roca
montrer du doigt,apuntando
renouveler,renovar
accouplé,acoplado
viii,viii
myanmar,myanmar
métadonnées,metadatos
Harold,Harold
circuits,circuitos
souple,flexible
texture,textura
sac à main,bolsos
pot,frasco
ev,evidente
somerset,voltereta
encouru,incurrido
accuser réception,reconocer
à fond,minuciosamente
Antigua,antigua
Nottingham,Nottingham
tonnerre,trueno
tente,carpa
avertir,precaución
identifier,identifica
questionnaire,cuestionario
qualification,calificación
serrures,Cerraduras
la modélisation,modelado
à savoir,a saber
miniature,miniatura
département,departamento
pirater,cortar a tajos
oser,atrevimiento
euros,euros
entre États,interestatal
pirates,piratas
aérien,aéreo
faucon,halcón
conséquence,consecuencia
rebelle,rebelde
systématique,sistemático
perçu,percibido
origines,orígenes
embauché,contratado
se réconcilier,maquillaje
textile,textil
agneau,Cordero
Madagascar,Madagascar
Nathan,Nathan
Tobago,tobago
en présentant,presentación
car,cos
dépannage,solución de problemas
Ouzbékistan,uzbekistán
index,índices
pacer,Pac
rl,rl
erp,ERP
des siècles,siglos
canette,gl
ordre de grandeur,magnitud
ui,ui
Richardson,richardson
hindou,hindú
dh,dh
parfums,fragancias
vocabulaire,vocabulario
léchage,paliza
tremblement de terre,terremoto
VPN,vpn
collecte de fonds,recaudación de fondos
fcc,fcc
Marqueurs,marcadores
poids,pesas
Albanie,albania
géologique,geológico
évaluer,evaluación
durable,perdurable
méchant,malvado
eds,eds
introduction,introduce
abattre,matanza
colocataire,compañera de cuarto
webcams,cámaras web
poussé,empujado
webmasters,webmasters
ro,ro
df,df
informatique,computacional
acdbentité,acdbentidad
participé,participado
déchet,basura
ordinateurs de poche,manualmente
la cire,cera
lucy,Lucy
répondant,contestador
hans,hans
impressionné,impresionado
pente,Pendiente
reggae,reggae
les échecs,fallas
poète,poeta
conspiration,conspiración
nom de famille,apellido
théologie,teología
clous,clavos
évident,evidente
quoi,qué
monte,paseos
désintox,rehabilitación
épique,épico
Saturne,Saturno
organisateur,organizador
noix,nuez
allergie,alergia
Saké,motivo
tordu,retorcido
combinaisons,combinaciones
précédent,anterior
mérite,mérito
enzyme,enzima
cumulatif,acumulativo
zshops,zshops
Avions,aviones
Edmonton,edmonton
s'attaquer à,entrada
disques,discos
condo,condominio
pokemon,pokemon
amplificateur,amplificador
ambien,ambien
arbitraire,arbitrario
important,prominente
récupérer,recuperar
Lexington,lexington
vernon,vernón
Sans,sans
classe mondiale,worldcat
titane,titanio
IRS,IRS
Fée,hada
construit,construir
contacté,contactado
arbre,eje
maigre,inclinarse
au revoir,adiós
cdt,cdt
enregistreurs,grabadoras
occasionnel,ocasional
Leslie,Leslie
casio,Casio
Deutsche,deutsche
ana,ana
messages,publicaciones
innovations,innovaciones
minou,gatito
cartes postales,Tarjetas postales
mec,tipo
égoutter,drenar
monte,monte
les feux,incendios
Algérie,argelia
béni,bendito
luis,Luis
révision,revisión
carton,Cardiff
Cornouailles,Cornualles
faveurs,favores
Patate,patata
panique,pánico
explicitement,explícitamente
des bâtons,palo
léne,leona
transsexuel,transexual
ez,ez
citoyenneté,ciudadanía
excuse,excusa
réformes,reformas
sous-sol,sótano
oignon,cebolla
brin,hebra
pf,pf
sandwich,emparedado
uw,uw
procès,demanda judicial
alto,Alto
informatif,informativo
copine,Novia
bloomberg,bloomberg
Chèque,cheque
hiérarchie,jerarquía
influencé,influenciado
bannières,banners
rejeter,rechazar
eau,eau
abandonné,abandonado
bd,bizcocho
cercles,círculos
italique,itálico
Beats,latidos
joyeux,alegre
mil,mil
scaphandre autonome,escafandra autónoma
sang,sangre
complément,complemento
culte,culto
tiret,pizca
passif,pasivo
Maurice,Mauricio
estimé,valorado
cage,jaula
liste de contrôle,Lista de Verificación
demandant,solicitante
courage,coraje
verbe,verde
lauderdale,lauderdale
scénarios,escenarios
gazette,gaceta
hitachi,Hitachi
divex,divis
extraction,extracción
homme chauve-souris,hombre murciélago
élévation,elevación
audiences,audiencias
Coleman,coleman
hugh,hugh
genoux,regazo
utilisation,utilización
breuvages,bebidas
étalonnage,calibración
jake,jake
éventuellement,evaluar
efficacement,eficientemente
anaheim,anaheim
ping,silbido
cahier de texte,libro de texto
séché,seco
divertissant,entretenido
prérequis,requisito previo
luther,luther
frontière,frontera
régler,resolver
arrêt,parada
réfugiés,refugiados
chevalier,caballeros
hypothèse,hipótesis
paleuse,palmero
médicaments,medicamentos
flux,flujo
Derby,derby
Sao,sao
paisible,tranquilo
altéré,alterado
pontiac,pontiac
régression,regresión
doctrine,doctrina
scénique,escénico
formateurs,entrenadores
muze,muze
amélioration,mejoras
renouvelable,renovable
intersection,intersección
mots de passe,contraseñas
couture,de coser
cohérence,consistencia
collectionneurs,coleccionistas
conclure,concluir
reconnu,Reconocido
Munich,Munich
Oman,Omán
célébrités,celebridades
GMC,GMC
proposer,proponer
hh,S.S
Azerbaïdjan,azerbaiyán
briquet,encendedor
rage,rabia
adsl,assl
euh,Oh
prix,prix
astrologie,astrología
conseillers,asesores
pavillon,pabellón
tactique,táctica
fiducies,fideicomisos
survenant,que ocurre
supplémentaire,hecho suplementario
en voyageant,de viaje
talentueux,talentoso
annie,annie
oreiller,almohada
induction,inducción
derek,Derek
précisément,precisamente
plus court,más corta
haley,harley
diffusion,extensión
provinces,provincias
qui s'appuie,confiar
finales,finales
paraguay,paraguay
voler,robar
parcelle,paquete o empaquetar
raffiné,refinado
fd,fd
board,bo
quinze,quince
répandu,generalizado
incidence,incidencia
peurs,miedos
prédire,predecir
boutique,boutique
acrylique,acrílico
roulé,arrollado
tuner,sintonizador
avon,avon
incidents,incidentes
péterson,peterson
des rayons,rayos
asn,asb
shannon,shannon
tout-petit,niño pequeño
améliorant,mejora
saveur,sabor
ressemblent,similar
walt,walt
sans abri,Vagabundo
horrible,horrible
faim,hambriento
métallique,metálico
acné,acné
bloqué,obstruido
ingérence,interferencia
guerriers,guerreros
Palestine,Palestina
Liste des prix,Precio de lista
libs,libs
annuler,deshacer
cadillac,Cadillac
atmosphérique,atmosférico
Malawi,Malawi
wm,WM
paquet,paquete
sagem,sagem
savoir savoir,Conocimiento
Dana,dana
Halo,aureola
ppm,ppm
curtis,curtis
parental,de los padres
référencé,referenciado
grèves,huelgas
moindre,menor
publicité,publicidad
marathon,maratón
fourmi,hormiga
proposition,proposición
gays,gays
pressage,prensado
de l'essence,gasolina
apte,apto
habillé,vestido
scout,explorar
belfast,belfast
exécuté,ejecutar
traité,repartido
Niagara,Niágara
Inf,infa
eos,eos
de guerre,Warcraft
charmes,encantar
catalyseur,Catalizador
Commerçant,comerciante
chevreuils,bucal
allocation,prestación
magnétoscope,vímbra
le déni,negación
Uri,uri
la désignation,designacion
jeté,arrojado
prépayé,Pagado por adelantado
soulager,ascensos
gemme,joya
dupliquer,duplicar
électro,electro
critère,criterio
badge,Insignia
poignet,muñeca
civilisation,civilización
analysé,analizado
vietnamien,vietnamita
bruyère,brezo
énorme,tremendo
scrutin,votación
lexus,lexus
varié,variar
remèdes,remedios
validité,validez
curateur,fideicomisario
maui,maui
pondéré,ponderado
Angola,angola
effectuer,realiza
plastiques,plástica
Royaume,reino
corrigée,corregido
jenny,jenny
casque,casco
les salaires,salarios
carte postale,tarjeta postal
l'éléphant,elefante
Yémen,Yemen
rencontré,encontrado
tsunami,tsunami
savant,erudito
nickel,níquel
internationalement,internacionalmente
entouré,rodeado
PSI,psi
les autobus,autobuses
Expedia,expedia
géologie,geología
pct,PCT
wb,WB
créatures,criaturas
enrobage,revestimiento
commenté,comentado
portefeuille,billetera
effacé,despejado
smilies,smilies
vidon,vids
accomplir,realizar
navigation de plaisance,paseo en barco
drainage,drenaje
shakira,shakira
coins,esquinas
plus large,más amplio
végétarien,vegetariano
rouge,colorete
Levure,levadura
yale,yale
Terre-Neuve,Terranova
sn,sn
qld,qld
pas,PAS
clairière,claro
enquêté,investigado
dard,dk
ambassadeur,embajador
recouvert,saburral
intention de,intentar
Stephanie,stephanie
contact,contactado
végétation,vegetación
perte,condenar
FindArticles,finarticles
Louise,louise
de Kenny,kenny
spécialement,especialmente
Owen,Owen
routines,rutinas
frappe,golpe
Yukon,Yukon
êtres,seres
mordre,morder
ISSN,ISSN
aquatique,acuático
dépendance,dependencia
habitudes,hábitos
frappant,sorprendentes
mythe,mito
infectieux,infeccioso
podcasts,podcasts
singh,Singh
concert,Curro
gilet,gilbert
sas,sas
ferrari,ferrari
continuité,continuidad
ruisseau,arroyo
fu,fu
les sorties,salidas
phénomène,fenómeno
ensemble,conjunto
insuline,insulina
assuré,seguro
biblique,bíblico
cannabis,hierba
conscient,consciente
accent,acento
mysimon,mysimon
Onze,once
épouses,esposas
ambiant,ambiente
utiliser,utilizar
kilométrage,kilometraje
OCDE,OCDE
prostate,próstata
adaptateur,adaptador
auburn,castaño
ouvrir,desbloquear
hyundai,hyundai
engagement,promesa
vampire,vampiro
angela,angela
raconter,se relaciona
azote,nitrógeno
photocopier,fotocopia
dé,dado
fusionnement,fusión
softball,sofbol
références,referencias
quadruple,patio
quai,muelle
différemment,diferentemente
firewire,firewire
mods,mods
nextel,Nextel
encadrement,enmarcado
organisé,organizado
musicien,músico
blocage,bloqueo
Rwanda,Ruanda
tresse,ordena
en intégrant,integrador
vstnet,vsnet
limitant,limitante
envoi,envío
révisions,revisiones
papou,Papuasia
restauré,restaurado
indice,insinuación
armure,armadura
coureurs,jinetes
chargeurs,cargadores
remarque,observación
douzaines,docenas
varie,varía
msie,msie
raisonnement,razonamiento
wn,wn
liz,liz
rendu,prestado
cueillette,cosecha
charitable,Caritativo
gardes,guardias
annoté,anotado
ccd,ccd
sv,sv
convaincu,convencido
ouvertures,aberturas
achats,compras
burlington,Burlington
remplaçant,reemplazo
chercheur,investigador
bassin versant,cuenca
conseils,consejos
occupations,ocupaciones
reconnu,admitido
Kruger,kruger
les poches,bolsillos
mamie,abuelita
porc,Cerdo
zu,zu
équilibre,equilibrio
viral,viral
renseigner,preguntar
pipes,tubería
caractérisé,caracterizada
chargé,cargado
arubie,aruba
chalets,casas de campo
agent immobilier,corredor de bienes raíces
fusionner,unir
privilège,privilegio
edgar,edgar
développer,desarrollarse
admissible,Calificación
châssis,chasis
Dubai,dubai
estimation,Estimacion
Grange,granero
poussant,emprendedor
llp,LLP
toison,lana
pédiatrique,pediátrico
boc,bocadillo
tarif,tarifa
dg,dg
asus,asus
transpercer,atravesar
allan,Alano
pansement,vendaje
techrepublic,TechRepublic
sperme,esperma
vg,vg
chauve,calvo
filière,filme
craps,dados
Fuji,fuji
gel,escarcha
Léon,León
instituts,institutos
mouler,molde
dame,dama
pour,fo
sortie,salida
yacht,yate
tracieux,tracy
préférer,prefiere
forage,perforación
brochures,folletos
herbe,hierba
TMP,tmp
beaucoup,mucho
mangé,comió
enfreindre,incumplimiento
baleine,ballena
voyageur,viajero
crédits,créditos
soupçonné,sospechoso
tomates,Tomates
référence,punto de referencia
débutant,principiantes
instructeurs,instructores
Souligné,resaltado
bedford,bedford
papeterie,papelería
inactif,inactivo
mustang,mustango
non autorisé,no autorizado
groupes,clústeres
anticorps,anticuerpo
compétent,competente
élan,impulso
ailette,aleta
câblage,alambrado
io,io
pasteur,pastor
boue,lodo
calvin,calvin
Uni,uni
requin,tiburón
donateur,contribuyente
démontre,demuestra
phases,etapas
reconnaissant,agradecido
émeraude,Esmeralda
progressivement,gradualmente
en riant,risa
grandir,crece
falaise,acantilado
souhaitable,deseable
tractus,tracto
ul,ul
ballet,ballet
ol,ol
journaliste,el periodista
abraham,Abrahán
js,js
pare-chocs,parachoque
après,después
page Web,Página web
religions,religiones
Ail,ajo
auberge de jeunesse,hostales
éclat,brillar
Sénégal,Senegal
explosion,explosión
pn,pn
banni,prohibido
wendy,wendy
slips,bragas
signatures,firmas
diffusion,suctio
crique,ensenada
mumbai,mumbai
ozone,ozono
disciplines,disciplinas
casa,Casa
mu,mu
filles,hijastro
conversation,conversaciones
radios,radios
tarif,arancel
nvidia,nvidia
adversaire,adversario
Pâtes,pasta
simplifié,simplificado
muscles,músculos
sérum,suero
enveloppé,envuelto
rapide,rápido
carte mère,tarjeta madre
Durée,tiempo de ejecución
boîte de réception,bandeja de entrada
focal,focal
bibliographique,bibliográfico
Eden,Edén
loin,distante
incl,inclinarse
Champagne,champán
ala,ala
décimal,decimal
hq,hq
déviation,desviación
surveillant général,superintendente
propecia,propecia
tremper,aderezo
nbc,nbc
samba,samba
hôtel,Hostal
femmes au foyer,amas de casa
employer,emplear
Mongolie,Mongolia
manchot,pingüino
magique,mágico
influence,influencias
inspections,inspección
irrigation,riego
miracle,milagro
manuellement,a mano
réimpression,reimprimir
Reid,reino
wt,wt
hydraulique,hidráulico
centré,centrado
robertson,robertson
fléchir,flexionar
annuel,anual
pénétration,penetración
blesser,herida
belle,beldad
rosa,rosa
conviction,convicción
hacher,picadillo
omission,omisiones
écriture,escritos
Hambourg,Hamburgo
paresseux,perezoso
mv,mechón
mpg,mpg
récupération,recuperación
qualités,cualidades
cindé,cindy
pères,fastidios
bouchon,carbohidrato
mise en charge,cargadura
CAS,CAS
merveille,maravilla
doublé,forrado
cion,cio
dow,dote
prototype,prototipo
important,en tono rimbombante
rb,rb
menue,chiquita
appareil,aparato
upc,upc
terrain,terreno
DUI,DUI
des stylos,plumas
expliquant,explicante
yen,yen
bandes,tiras
potins,chisme
randonneurs,rangers
nomination,nominación
empirique,empírico
mh,mh
rotatif,giratorio
Ver de terre,gusano
dépendance,dependencia
discret,discreto
débutant,principiante
encadré,en caja
couvercle,tapa
sexualité,sexualidad
polyester,poliéster
cubique,cúbico
sourd,sordo
engagements,compromiso
suggérant,sugerencia
saphir,zafiro
kinase,quinasa
jupes,Faldas
tapis,esteras
reste,recordatorio
Crawford,crawford
étiqueté,etiquetado
privilèges,privilegios
Téléviseurs,televisores
spécialisation,especializado
marquage,calificación
marchandises,productos básicos
pvc,cloruro de polivinilo
Serbie,serbia
